CoReg;Year;Series;Value;Footnotes;Source
Africa;2018;Total supply (petajoules);33038;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;1995;Supply per capita (gigajoules);26;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2000;Supply per capita (gigajoules);26;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2005;Supply per capita (gigajoules);27;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2010;Supply per capita (gigajoules);27;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2015;Supply per capita (gigajoules);27;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2016;Supply per capita (gigajoules);26;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2017;Supply per capita (gigajoules);26;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2018;Supply per capita (gigajoules);26;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;1995;Primary energy production (petajoules);93935;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2000;Primary energy production (petajoules);96725;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2005;Primary energy production (petajoules);98779;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2010;Primary energy production (petajoules);101209;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2015;Primary energy production (petajoules);115127;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2016;Primary energy production (petajoules);110388;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2017;Primary energy production (petajoules);114154;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2018;Primary energy production (petajoules);122359;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;1995;Net imports [Imports - Exports - Bunkers] (petajoules);9243;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2000;Net imports [Imports - Exports - Bunkers] (petajoules);15880;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2005;Net imports [Imports - Exports - Bunkers] (petajoules);20410;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2010;Net imports [Imports - Exports - Bunkers] (petajoules);13036;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2015;Net imports [Imports - Exports - Bunkers] (petajoules);1788;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2016;Net imports [Imports - Exports - Bunkers] (petajoules);2154;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2017;Net imports [Imports - Exports - Bunkers] (petajoules);-1995;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-6150;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;1995;Changes in stocks (petajoules);-918;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2000;Changes in stocks (petajoules);-2231;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2005;Changes in stocks (petajoules);-142;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2010;Changes in stocks (petajoules);-610;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2015;Changes in stocks (petajoules);2062;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2016;Changes in stocks (petajoules);-1345;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2017;Changes in stocks (petajoules);-1518;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2018;Changes in stocks (petajoules);-847;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;1995;Total supply (petajoules);104096;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2000;Total supply (petajoules);114836;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2005;Total supply (petajoules);119331;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2010;Total supply (petajoules);114855;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2015;Total supply (petajoules);114853;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2016;Total supply (petajoules);113888;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2017;Total supply (petajoules);113677;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2018;Total supply (petajoules);117056;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;1995;Supply per capita (gigajoules);228;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2000;Supply per capita (gigajoules);236;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2005;Supply per capita (gigajoules);232;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2010;Supply per capita (gigajoules);212;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2015;Supply per capita (gigajoules);202;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2016;Supply per capita (gigajoules);199;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2017;Supply per capita (gigajoules);197;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
North America;2018;Supply per capita (gigajoules);201;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;1995;Primary energy production (petajoules);20327;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2000;Primary energy production (petajoules);24060;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2005;Primary energy production (petajoules);26635;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2010;Primary energy production (petajoules);29347;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2015;Primary energy production (petajoules);31623;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2016;Primary energy production (petajoules);31287;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2017;Primary energy production (petajoules);30692;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2018;Primary energy production (petajoules);29434;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;1995;Net imports [Imports - Exports - Bunkers] (petajoules);-5751;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2000;Net imports [Imports - Exports - Bunkers] (petajoules);-7317;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2005;Net imports [Imports - Exports - Bunkers] (petajoules);-8091;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2010;Net imports [Imports - Exports - Bunkers] (petajoules);-7296;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2015;Net imports [Imports - Exports - Bunkers] (petajoules);-7516;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2016;Net imports [Imports - Exports - Bunkers] (petajoules);-7689;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2017;Net imports [Imports - Exports - Bunkers] (petajoules);-7632;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-6708;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;1995;Changes in stocks (petajoules);-8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2000;Changes in stocks (petajoules);-14;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2005;Changes in stocks (petajoules);-326;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2010;Changes in stocks (petajoules);-89;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2015;Changes in stocks (petajoules);28;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2016;Changes in stocks (petajoules);-104;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2017;Changes in stocks (petajoules);-774;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2018;Changes in stocks (petajoules);-349;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;1995;Total supply (petajoules);14583;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2000;Total supply (petajoules);16758;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2005;Total supply (petajoules);18869;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2010;Total supply (petajoules);22140;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2015;Total supply (petajoules);24078;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2016;Total supply (petajoules);23702;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2017;Total supply (petajoules);23833;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2018;Total supply (petajoules);23076;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;1995;Supply per capita (gigajoules);45;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2000;Supply per capita (gigajoules);48;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2005;Supply per capita (gigajoules);51;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2010;Supply per capita (gigajoules);56;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2015;Supply per capita (gigajoules);58;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2016;Supply per capita (gigajoules);57;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2017;Supply per capita (gigajoules);57;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
South America;2018;Supply per capita (gigajoules);55;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;1995;Primary energy production (petajoules);133648;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2000;Primary energy production (petajoules);150192;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2005;Primary energy production (petajoules);192251;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2010;Primary energy production (petajoules);236390;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2015;Primary energy production (petajoules);260641;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2016;Primary energy production (petajoules);264113;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2017;Primary energy production (petajoules);267975;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2018;Primary energy production (petajoules);276234;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;1995;Net imports [Imports - Exports - Bunkers] (petajoules);-8535;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2000;Net imports [Imports - Exports - Bunkers] (petajoules);-9650;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2005;Net imports [Imports - Exports - Bunkers] (petajoules);-9531;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2010;Net imports [Imports - Exports - Bunkers] (petajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2015;Net imports [Imports - Exports - Bunkers] (petajoules);7846;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2016;Net imports [Imports - Exports - Bunkers] (petajoules);4569;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2017;Net imports [Imports - Exports - Bunkers] (petajoules);10622;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2018;Net imports [Imports - Exports - Bunkers] (petajoules);13222;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;1995;Changes in stocks (petajoules);618;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2000;Changes in stocks (petajoules);-710;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2005;Changes in stocks (petajoules);-368;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2010;Changes in stocks (petajoules);1651;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2015;Changes in stocks (petajoules);172;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2016;Changes in stocks (petajoules);-3045;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2017;Changes in stocks (petajoules);-137;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2018;Changes in stocks (petajoules);1852;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;1995;Total supply (petajoules);124496;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2000;Total supply (petajoules);141252;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2005;Total supply (petajoules);183088;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2010;Total supply (petajoules);234751;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2015;Total supply (petajoules);268316;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2016;Total supply (petajoules);271726;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2017;Total supply (petajoules);278735;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2018;Total supply (petajoules);287605;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;1995;Supply per capita (gigajoules);36;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2000;Supply per capita (gigajoules);38;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2005;Supply per capita (gigajoules);46;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2010;Supply per capita (gigajoules);56;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2015;Supply per capita (gigajoules);61;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2016;Supply per capita (gigajoules);61;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2017;Supply per capita (gigajoules);62;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Asia;2018;Supply per capita (gigajoules);63;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;1995;Primary energy production (petajoules);93688;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2000;Primary energy production (petajoules);95060;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2005;Primary energy production (petajoules);102802;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2010;Primary energy production (petajoules);102657;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2015;Primary energy production (petajoules);101269;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2016;Primary energy production (petajoules);102683;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2017;Primary energy production (petajoules);104721;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2018;Primary energy production (petajoules);106862;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;1995;Net imports [Imports - Exports - Bunkers] (petajoules);13193;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2000;Net imports [Imports - Exports - Bunkers] (petajoules);11981;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
